"","lga_id","X_id_facility_list","total_facility_list","matched_facility_list","rejected_facility_list","finished_facility_list","left_facility_list","full_facility_list","edu_total_facility_list","edu_matched_facility_list","edu_rejected_facility_list","edu_finished_facility_list","edu_left_facility_list","health_total_facility_list","health_matched_facility_list","health_rejected_facility_list","health_finished_facility_list","health_left_facility_list","state_facility_list","lga_facility_list","zone_facility_list","X_id_baseline","total_baseline","matched_baseline","rejected_baseline","finished_baseline","left_baseline","full_baseline","edu_total_baseline","edu_matched_baseline","edu_rejected_baseline","edu_finished_baseline","edu_left_baseline","health_total_baseline","health_matched_baseline","health_rejected_baseline","health_finished_baseline","health_left_baseline","state_baseline","lga_baseline","zone_baseline"
"342",347,"51b0b213b0593c9c276ed252",298,119,0,119,179,TRUE,247,86,0,86,161,51,33,0,33,18,"kwara","ilorin_west","north_central","51b0b206b0593c9c276ec8cd",158,119,39,158,0,TRUE,119,86,33,119,0,39,33,6,39,0,"kwara","ilorin_west","north_central"
"343",348,"51b0b213b0593c9c276ed22d",135,88,0,88,47,TRUE,103,69,0,69,34,32,19,0,19,13,"ogun","imeko_afon","southwest","51b0b206b0593c9c276ec7a3",131,88,33,121,10,TRUE,101,69,22,91,10,30,19,11,30,0,"ogun","imeko_afon","southwest"
"344",349,"51b0b213b0593c9c276ed1f7",155,90,0,90,65,TRUE,104,63,0,63,41,51,27,0,27,24,"katsina","ingawa","northwest","51b0b206b0593c9c276ec8f4",99,90,9,99,0,TRUE,68,63,5,68,0,31,27,4,31,0,"katsina","ingawa","northwest"
"345",350,"51b0b213b0593c9c276ed32f",116,71,0,71,45,TRUE,98,56,0,56,42,18,15,0,15,3,"akwa_ibom","ini","south_south","51b0b206b0593c9c276ec7a4",82,71,10,81,1,TRUE,64,56,7,63,1,18,15,3,18,0,"akwa_ibom","ini","south_south"
"346",351,"51b0b213b0593c9c276ed17d",214,146,0,146,68,TRUE,157,117,0,117,40,57,29,0,29,28,"ogun","ipokia","southwest","51b0b206b0593c9c276ec8c7",192,146,46,192,0,TRUE,141,117,24,141,0,51,29,22,51,0,"ogun","ipokia","southwest"
"347",352,"51b0b213b0593c9c276ed2a1",238,64,0,64,174,TRUE,188,43,0,43,145,50,21,0,21,29,"ondo","irele","southwest","51b0b206b0593c9c276ec94b",133,63,70,133,0,TRUE,97,42,55,97,0,36,21,15,36,0,"ondo","irele","southwest"
"348",353,"51b0b213b0593c9c276ed12a",233,110,0,110,123,TRUE,188,85,0,85,103,45,25,0,25,20,"oyo","irepo","southwest","51b0b206b0593c9c276ec826",119,110,9,119,0,TRUE,94,85,9,94,0,25,25,0,25,0,"oyo","irepo","southwest"
"349",354,"51b0b213b0593c9c276ed312",78,61,0,61,17,TRUE,53,43,0,43,10,25,18,0,18,7,"osun","irepodun","southwest","51b0b206b0593c9c276ec922",75,61,14,75,0,TRUE,53,43,10,53,0,22,18,4,22,0,"osun","irepodun","southwest"
"350",355,"51b0b213b0593c9c276ed326",558,188,0,188,370,TRUE,452,147,0,147,305,106,41,0,41,65,"kwara","irepodun","north_central","51b0b206b0593c9c276ec8f3",199,188,11,199,0,TRUE,155,147,8,155,0,44,41,3,44,0,"kwara","irepodun","north_central"
"351",356,"51b0b213b0593c9c276ed1f3",157,104,0,104,53,TRUE,114,80,0,80,34,43,24,0,24,19,"ekiti","irepodun_ifelodun","southwest","51b0b206b0593c9c276ec8c8",119,104,14,118,1,TRUE,89,80,8,88,1,30,24,6,30,0,"ekiti","irepodun_ifelodun","southwest"
"352",357,"51b0b213b0593c9c276ed0b4",122,69,0,69,53,TRUE,92,51,0,51,41,30,18,0,18,12,"osun","irewole","southwest","51b0b206b0593c9c276ec933",91,69,22,91,0,TRUE,66,51,15,66,0,25,18,7,25,0,"osun","irewole","southwest"
"353",358,"51b0b213b0593c9c276ed24d",131,98,0,98,33,TRUE,105,81,0,81,24,26,17,0,17,9,"sokoto","isa","northwest","51b0b206b0593c9c276ec7a5",127,98,0,98,29,TRUE,102,81,0,81,21,25,17,0,17,8,"sokoto","isa","northwest"
"354",359,"51b0b213b0593c9c276ed249",198,95,0,95,103,TRUE,152,77,0,77,75,46,18,0,18,28,"ekiti","ise_orun","southwest","51b0b206b0593c9c276ec911",103,95,8,103,0,TRUE,81,77,4,81,0,22,18,4,22,0,"ekiti","ise_orun","southwest"
"355",360,"51b0b213b0593c9c276ed2d3",234,174,0,174,60,TRUE,191,147,0,147,44,43,27,0,27,16,"oyo","iseyin","southwest","51b0b206b0593c9c276ec9f8",231,174,56,230,1,TRUE,191,147,44,191,0,40,27,12,39,1,"oyo","iseyin","southwest"
"356",361,"51b0b213b0593c9c276ed18e",382,89,0,89,293,TRUE,338,68,0,68,270,44,21,0,21,23,"ebonyi","ishielu","southeast","51b0b206b0593c9c276ec94c",147,89,58,147,0,TRUE,117,68,49,117,0,30,21,9,30,0,"ebonyi","ishielu","southeast"
"357",362,"51b0b213b0593c9c276ed236",173,125,0,125,48,TRUE,115,91,0,91,24,58,34,0,34,24,"imo","isiala_mbano","southeast","51b0b206b0593c9c276ec9eb",151,124,26,150,1,TRUE,106,90,15,105,1,45,34,11,45,0,"imo","isiala_mbano","southeast"
"358",363,"51b0b213b0593c9c276ed1ba",129,66,0,66,63,TRUE,80,43,0,43,37,49,23,0,23,26,"abia","isiala_ngwa_north","southeast","51b0b206b0593c9c276ec94d",86,66,20,86,0,TRUE,58,43,15,58,0,28,23,5,28,0,"abia","isiala_ngwa_north","southeast"
"359",364,"51b0b213b0593c9c276ed15f",142,97,0,97,45,TRUE,90,74,0,74,16,52,23,0,23,29,"abia","isiala_ngwa_south","southeast","51b0b206b0593c9c276ec9cc",131,97,34,131,0,TRUE,99,74,25,99,0,32,23,9,32,0,"abia","isiala_ngwa_south","southeast"
"360",365,"51b0b213b0593c9c276ed180",220,105,0,105,115,TRUE,167,78,0,78,89,53,27,0,27,26,"kwara","isin","north_central","51b0b206b0593c9c276ec8f2",112,105,7,112,0,TRUE,85,78,7,85,0,27,27,0,27,0,"kwara","isin","north_central"
"361",366,"51b0b213b0593c9c276ed1d1",146,35,0,35,111,TRUE,114,26,0,26,88,32,9,0,9,23,"enugu","isi_uzo","southeast","51b0b206b0593c9c276ec9d1",36,35,1,36,0,TRUE,27,26,1,27,0,9,9,0,9,0,"enugu","isi_uzo","southeast"
"362",367,"51b0b213b0593c9c276ed238",126,90,0,90,36,TRUE,96,71,0,71,25,30,19,0,19,11,"osun","isokan","southwest","51b0b206b0593c9c276ec977",126,90,36,126,0,TRUE,96,71,25,96,0,30,19,11,30,0,"osun","isokan","southwest"
